Name,Location,ReviewCounts,StarsNumber
Bao,Mission,116,4.5
Uncle Tito,SoMa,20,4.5
Original Joe’s,North Beach/Telegraph Hill,1682,4.0
CreoLa,Cole Valley,96,4.5
Pampanguena Cuisine,Excelsior,371,4.5
Eats,Inner Richmond,1230,4.0
Che Fico Alimentari,Alamo Square,121,4.0
Tato,Bayview-Hunters Point,102,4.5
Bazille,Union Square,109,4.5
Marcella’s Lasagneria,Potrero Hill,424,4.5
Strada Pizza,Parkside,96,4.5
Strada Pizza,Parkside,96,4.5
Keeva Indian Kitchen,Inner Richmond,608,4.5
Osteria Bella,Inner Richmond,138,4.5
Noosh,Lower Pacific Heights,463,3.5
Waterfall,Mission,46,5.0
Pinoy Heritage,Potrero Hill,19,5.0
Magnolia Brewing - Dogpatch,Dogpatch,155,3.5
Magic Flute Ristorante,Presidio Heights,600,4.0
Cracked & Battered - Potrero Hill,Potrero Hill,1057,4.5
Ox & Tiger,Tenderloin,16,5.0
Mister Jiu’s,Chinatown,819,4.0
Bacco,Noe Valley,495,4.0
Amarena,Russian Hill,623,4.0
Unfurl,Mission Bay,22,4.0
Biriani House,Mission,42,4.0
Bacco,Noe Valley,495,4.0
Dumpling Alley,Outer Richmond,187,4.0
Hu Tong Jian Bing,Dogpatch,29,4.0
Lolinda,Mission,2099,4.0
Hot Sauce and Panko,Nob Hill,1233,4.5
Izakaya Mayumi,Outer Richmond,68,4.5
Vixi,Laurel Heights,235,4.0
Okane,Mission Bay,393,4.0
Arepas En Bici,Lower Nob Hill,45,4.5
Rich Table,Hayes Valley,1343,4.0
Strada Pizza,Parkside,96,4.5
Unfurl,Mission Bay,22,4.0
Strada Pizza,Parkside,96,4.5
Chez Maman East,Potrero Hill,2192,4.5
Scopo Divino,Pacific Heights,297,4.5
Pinoy Heritage,Potrero Hill,19,5.0
Volcano,Outer Richmond,1263,4.0
Kazan,Mission,504,4.5
La Mar Cebichería Peruana,Embarcadero,4014,4.0
Shabusen Authentic Japanese Shabu Shabu,Japantown,8,4.5
Burma Love - Downtown,Union Square,233,4.5
Damn Fine,Outer Sunset,96,4.5
Mr. Digby’s Bar & Restaurant,Noe Valley,80,4.5
Keeva Indian Kitchen,Inner Richmond,608,4.5
Unfurl,Mission Bay,22,4.0
Nani’s Restaurant,Mission,-1,-1.0
Uncle Tito,SoMa,20,4.5
Outer Orbit,Bernal Heights,119,4.5
Hot Sauce and Panko,Nob Hill,1233,4.5
Barzotto,Mission,717,4.0
Tacos El Patrón,Mission,602,4.0
Sorrel,Presidio Heights,274,4.0
Lucky Pig,Tenderloin,219,4.0
Daeho Kalbijjim & Beef Soup,Ingleside Heights,69,4.0
IZUMIYA,Japantown,80,4.0
Ramenwell,Mission,241,4.5
Strada Pizza,Parkside,96,4.5
